photo_id,species,marked,inat_url
2956370,Turdus migratorius,1,https://www.inaturalist.org/photos/2956370
171720481,Turdus migratorius,0,https://www.inaturalist.org/photos/171720481
2861709,Turdus migratorius,1,https://www.inaturalist.org/photos/2861709
255438487,Turdus migratorius,0,https://www.inaturalist.org/photos/255438487
58668498,Turdus migratorius,1,https://www.inaturalist.org/photos/58668498
107763994,Turdus migratorius,1,https://www.inaturalist.org/photos/107763994
171813347,Turdus migratorius,1,https://www.inaturalist.org/photos/171813347
171720458,Turdus migratorius,1,https://www.inaturalist.org/photos/171720458
347339639,Turdus migratorius,0,https://www.inaturalist.org/photos/347339639
255438285,Turdus migratorius,0,https://www.inaturalist.org/photos/255438285
257406791,Turdus migratorius,1,https://www.inaturalist.org/photos/257406791
251898851,Turdus migratorius,0,https://www.inaturalist.org/photos/251898851
249036234,Turdus migratorius,1,https://www.inaturalist.org/photos/249036234
107770809,Turdus migratorius,0,https://www.inaturalist.org/photos/107770809
106232848,Turdus migratorius,0,https://www.inaturalist.org/photos/106232848
175433427,Turdus migratorius,1,https://www.inaturalist.org/photos/175433427
59878234,Turdus migratorius,1,https://www.inaturalist.org/photos/59878234
171720497,Turdus migratorius,1,https://www.inaturalist.org/photos/171720497
248887874,Turdus migratorius,0,https://www.inaturalist.org/photos/248887874
255564669,Turdus migratorius,1,https://www.inaturalist.org/photos/255564669
257406771,Turdus migratorius,1,https://www.inaturalist.org/photos/257406771
177872980,Turdus migratorius,1,https://www.inaturalist.org/photos/177872980
249147892,Turdus migratorius,1,https://www.inaturalist.org/photos/249147892
268335456,Turdus migratorius,0,https://www.inaturalist.org/photos/268335456
5934832,Turdus migratorius,1,https://www.inaturalist.org/photos/5934832
110981008,Turdus migratorius,0,https://www.inaturalist.org/photos/110981008
111882469,Turdus migratorius,1,https://www.inaturalist.org/photos/111882469
257406745,Turdus migratorius,1,https://www.inaturalist.org/photos/257406745
171813401,Turdus migratorius,0,https://www.inaturalist.org/photos/171813401
31242572,Turdus migratorius,0,https://www.inaturalist.org/photos/31242572
253140347,Turdus migratorius,0,https://www.inaturalist.org/photos/253140347
350537101,Turdus migratorius,1,https://www.inaturalist.org/photos/350537101
257406738,Turdus migratorius,1,https://www.inaturalist.org/photos/257406738
253415434,Turdus migratorius,1,https://www.inaturalist.org/photos/253415434
31987657,Turdus migratorius,1,https://www.inaturalist.org/photos/31987657
257406753,Turdus migratorius,1,https://www.inaturalist.org/photos/257406753
259281095,Turdus migratorius,1,https://www.inaturalist.org/photos/259281095
348727244,Turdus migratorius,0,https://www.inaturalist.org/photos/348727244
250498308,Turdus migratorius,1,https://www.inaturalist.org/photos/250498308
247874466,Turdus migratorius,1,https://www.inaturalist.org/photos/247874466
31525878,Turdus migratorius,1,https://www.inaturalist.org/photos/31525878
249885558,Turdus migratorius,1,https://www.inaturalist.org/photos/249885558
246956150,Turdus migratorius,1,https://www.inaturalist.org/photos/246956150
2778126,Turdus migratorius,0,https://www.inaturalist.org/photos/2778126
251534440,Turdus migratorius,1,https://www.inaturalist.org/photos/251534440
256859976,Turdus migratorius,0,https://www.inaturalist.org/photos/256859976
171500009,Turdus migratorius,1,https://www.inaturalist.org/photos/171500009
29497797,Turdus migratorius,0,https://www.inaturalist.org/photos/29497797
58588055,Turdus migratorius,0,https://www.inaturalist.org/photos/58588055
348026988,Turdus migratorius,1,https://www.inaturalist.org/photos/348026988
255799351,Turdus migratorius,1,https://www.inaturalist.org/photos/255799351
179837595,Turdus migratorius,0,https://www.inaturalist.org/photos/179837595
251898861,Turdus migratorius,0,https://www.inaturalist.org/photos/251898861
32260951,Turdus migratorius,0,https://www.inaturalist.org/photos/32260951
250923765,Turdus migratorius,1,https://www.inaturalist.org/photos/250923765
259465195,Turdus migratorius,1,https://www.inaturalist.org/photos/259465195
288238702,Turdus migratorius,0,https://www.inaturalist.org/photos/288238702
61335045,Turdus migratorius,1,https://www.inaturalist.org/photos/61335045
252795,Turdus migratorius,0,https://www.inaturalist.org/photos/252795
61116713,Turdus migratorius,1,https://www.inaturalist.org/photos/61116713
178811840,Turdus migratorius,0,https://www.inaturalist.org/photos/178811840
246956141,Turdus migratorius,1,https://www.inaturalist.org/photos/246956141
60282170,Turdus migratorius,1,https://www.inaturalist.org/photos/60282170
172821809,Turdus migratorius,1,https://www.inaturalist.org/photos/172821809
