photo_id,species,marked,inat_url
389135042,Turdus migratorius,0,https://www.inaturalist.org/photos/389135042
223881738,Turdus migratorius,0,https://www.inaturalist.org/photos/223881738
21337865,Turdus migratorius,1,https://www.inaturalist.org/photos/21337865
310386862,Turdus migratorius,0,https://www.inaturalist.org/photos/310386862
233894015,Turdus migratorius,0,https://www.inaturalist.org/photos/233894015
306909494,Turdus migratorius,0,https://www.inaturalist.org/photos/306909494
325826748,Turdus migratorius,0,https://www.inaturalist.org/photos/325826748
4443563,Turdus migratorius,1,https://www.inaturalist.org/photos/4443563
406924171,Turdus migratorius,0,https://www.inaturalist.org/photos/406924171
41001001,Turdus migratorius,1,https://www.inaturalist.org/photos/41001001
81265918,Turdus migratorius,0,https://www.inaturalist.org/photos/81265918
403941457,Turdus migratorius,0,https://www.inaturalist.org/photos/403941457
396762562,Turdus migratorius,0,https://www.inaturalist.org/photos/396762562
215080944,Turdus migratorius,0,https://www.inaturalist.org/photos/215080944
211420733,Turdus migratorius,0,https://www.inaturalist.org/photos/211420733
21874359,Turdus migratorius,1,https://www.inaturalist.org/photos/21874359
47681943,Turdus migratorius,1,https://www.inaturalist.org/photos/47681943
211732796,Turdus migratorius,0,https://www.inaturalist.org/photos/211732796
312448398,Turdus migratorius,1,https://www.inaturalist.org/photos/312448398
302530645,Turdus migratorius,0,https://www.inaturalist.org/photos/302530645
203599536,Turdus migratorius,1,https://www.inaturalist.org/photos/203599536
404319959,Turdus migratorius,1,https://www.inaturalist.org/photos/404319959
146434841,Turdus migratorius,1,https://www.inaturalist.org/photos/146434841
332561673,Turdus migratorius,0,https://www.inaturalist.org/photos/332561673
142276092,Turdus migratorius,1,https://www.inaturalist.org/photos/142276092
49919264,Turdus migratorius,0,https://www.inaturalist.org/photos/49919264
407484436,Turdus migratorius,0,https://www.inaturalist.org/photos/407484436
312672635,Turdus migratorius,0,https://www.inaturalist.org/photos/312672635
43687411,Turdus migratorius,1,https://www.inaturalist.org/photos/43687411
967741,Turdus migratorius,1,https://www.inaturalist.org/photos/967741
47928475,Turdus migratorius,1,https://www.inaturalist.org/photos/47928475
411505885,Turdus migratorius,0,https://www.inaturalist.org/photos/411505885
304611792,Turdus migratorius,0,https://www.inaturalist.org/photos/304611792
420026535,Turdus migratorius,1,https://www.inaturalist.org/photos/420026535
289139674,Turdus migratorius,0,https://www.inaturalist.org/photos/289139674
213786054,Turdus migratorius,0,https://www.inaturalist.org/photos/213786054
409137340,Turdus migratorius,0,https://www.inaturalist.org/photos/409137340
134756432,Turdus migratorius,1,https://www.inaturalist.org/photos/134756432
414450848,Turdus migratorius,0,https://www.inaturalist.org/photos/414450848
307244791,Turdus migratorius,0,https://www.inaturalist.org/photos/307244791
152791095,Turdus migratorius,0,https://www.inaturalist.org/photos/152791095
145505050,Turdus migratorius,0,https://www.inaturalist.org/photos/145505050
305301512,Turdus migratorius,0,https://www.inaturalist.org/photos/305301512
138850723,Turdus migratorius,1,https://www.inaturalist.org/photos/138850723
410055641,Turdus migratorius,0,https://www.inaturalist.org/photos/410055641
401492637,Turdus migratorius,0,https://www.inaturalist.org/photos/401492637
46467545,Turdus migratorius,0,https://www.inaturalist.org/photos/46467545
417848112,Turdus migratorius,1,https://www.inaturalist.org/photos/417848112
393508351,Turdus migratorius,0,https://www.inaturalist.org/photos/393508351
43281347,Turdus migratorius,0,https://www.inaturalist.org/photos/43281347
135848201,Turdus migratorius,1,https://www.inaturalist.org/photos/135848201
308866774,Turdus migratorius,0,https://www.inaturalist.org/photos/308866774
403036745,Turdus migratorius,0,https://www.inaturalist.org/photos/403036745
43687435,Turdus migratorius,0,https://www.inaturalist.org/photos/43687435
135416128,Turdus migratorius,0,https://www.inaturalist.org/photos/135416128
138214253,Turdus migratorius,1,https://www.inaturalist.org/photos/138214253
437790772,Turdus migratorius,0,https://www.inaturalist.org/photos/437790772
344341837,Turdus migratorius,1,https://www.inaturalist.org/photos/344341837
399878113,Turdus migratorius,0,https://www.inaturalist.org/photos/399878113
42074293,Turdus migratorius,0,https://www.inaturalist.org/photos/42074293
308889258,Turdus migratorius,0,https://www.inaturalist.org/photos/308889258
412473279,Turdus migratorius,0,https://www.inaturalist.org/photos/412473279
227003756,Turdus migratorius,0,https://www.inaturalist.org/photos/227003756
62239486,Turdus migratorius,1,https://www.inaturalist.org/photos/62239486
312448417,Turdus migratorius,0,https://www.inaturalist.org/photos/312448417
415879678,Turdus migratorius,0,https://www.inaturalist.org/photos/415879678
8438647,Turdus migratorius,1,https://www.inaturalist.org/photos/8438647
133946244,Turdus migratorius,0,https://www.inaturalist.org/photos/133946244
403224622,Turdus migratorius,0,https://www.inaturalist.org/photos/403224622
236608856,Turdus migratorius,0,https://www.inaturalist.org/photos/236608856
20292214,Turdus migratorius,0,https://www.inaturalist.org/photos/20292214
51451187,Turdus migratorius,1,https://www.inaturalist.org/photos/51451187
43687428,Turdus migratorius,1,https://www.inaturalist.org/photos/43687428
202818896,Turdus migratorius,1,https://www.inaturalist.org/photos/202818896
107897319,Turdus migratorius,0,https://www.inaturalist.org/photos/107897319
293177780,Turdus migratorius,0,https://www.inaturalist.org/photos/293177780
151342863,Turdus migratorius,1,https://www.inaturalist.org/photos/151342863
394247004,Turdus migratorius,0,https://www.inaturalist.org/photos/394247004
22820255,Turdus migratorius,0,https://www.inaturalist.org/photos/22820255
154365537,Turdus migratorius,0,https://www.inaturalist.org/photos/154365537
144212346,Turdus migratorius,0,https://www.inaturalist.org/photos/144212346
403224623,Turdus migratorius,0,https://www.inaturalist.org/photos/403224623
135416148,Turdus migratorius,0,https://www.inaturalist.org/photos/135416148
87133184,Turdus migratorius,0,https://www.inaturalist.org/photos/87133184
6660820,Turdus migratorius,0,https://www.inaturalist.org/photos/6660820
84494578,Turdus migratorius,0,https://www.inaturalist.org/photos/84494578
228759738,Turdus migratorius,0,https://www.inaturalist.org/photos/228759738
212442696,Turdus migratorius,1,https://www.inaturalist.org/photos/212442696
346390684,Turdus migratorius,0,https://www.inaturalist.org/photos/346390684
44859826,Turdus migratorius,0,https://www.inaturalist.org/photos/44859826
74805320,Turdus migratorius,0,https://www.inaturalist.org/photos/74805320
410383670,Turdus migratorius,0,https://www.inaturalist.org/photos/410383670
160910798,Turdus migratorius,0,https://www.inaturalist.org/photos/160910798
402238340,Turdus migratorius,0,https://www.inaturalist.org/photos/402238340
395355055,Turdus migratorius,0,https://www.inaturalist.org/photos/395355055
142019560,Turdus migratorius,1,https://www.inaturalist.org/photos/142019560
84819325,Turdus migratorius,1,https://www.inaturalist.org/photos/84819325
458464,Turdus migratorius,0,https://www.inaturalist.org/photos/458464
144109975,Turdus migratorius,1,https://www.inaturalist.org/photos/144109975
298625615,Turdus migratorius,1,https://www.inaturalist.org/photos/298625615
40992591,Turdus migratorius,0,https://www.inaturalist.org/photos/40992591
212383268,Turdus migratorius,0,https://www.inaturalist.org/photos/212383268
211826935,Turdus migratorius,0,https://www.inaturalist.org/photos/211826935
299035869,Turdus migratorius,0,https://www.inaturalist.org/photos/299035869
441402188,Turdus migratorius,0,https://www.inaturalist.org/photos/441402188
207808588,Turdus migratorius,0,https://www.inaturalist.org/photos/207808588
79575236,Turdus migratorius,1,https://www.inaturalist.org/photos/79575236
153846516,Turdus migratorius,0,https://www.inaturalist.org/photos/153846516
400866826,Turdus migratorius,0,https://www.inaturalist.org/photos/400866826
326327418,Turdus migratorius,1,https://www.inaturalist.org/photos/326327418
312448420,Turdus migratorius,0,https://www.inaturalist.org/photos/312448420
9355856,Turdus migratorius,0,https://www.inaturalist.org/photos/9355856
224839181,Turdus migratorius,0,https://www.inaturalist.org/photos/224839181
220843939,Turdus migratorius,1,https://www.inaturalist.org/photos/220843939
404397390,Turdus migratorius,0,https://www.inaturalist.org/photos/404397390
47928426,Turdus migratorius,1,https://www.inaturalist.org/photos/47928426
208068385,Turdus migratorius,1,https://www.inaturalist.org/photos/208068385
309169201,Turdus migratorius,0,https://www.inaturalist.org/photos/309169201
