photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Coniferous,Notes
350184168,Pinus ponderosa,0,https://www.inaturalist.org/photos/350184168,4,1,1,1,-105.3,40.71,1,
390606732,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606732,6,2,1,1,-105.3,40.71,1,
158290209,Agrostis scabra,0,https://www.inaturalist.org/photos/158290209,9,3,1,3,-105.5,40.6,0,
442184781,Erigeron canadensis,0,https://www.inaturalist.org/photos/442184781,10,4,0,NA,-105.54,40.63,0,
390606742,Pinus ponderosa,0,https://www.inaturalist.org/photos/390606742,6,5,1,1,-105.3,40.71,1,
314909459,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/314909459,2,6,1,2,-105.32,40.63,1,"Trees are a little big, but photo was taken in 2023 so it could be ~11 years old. Keep tentatively "
442186940,Phleum pratense,0,https://www.inaturalist.org/photos/442186940,10,7,0,NA,-105.54,40.63,1,
442188117,Pinus contorta,0,https://www.inaturalist.org/photos/442188117,10,8,0,NA,-105.54,40.63,0,
442187972,Pinus contorta,0,https://www.inaturalist.org/photos/442187972,10,9,0,NA,-105.54,40.63,1,
442185049,Cirsium arvense,0,https://www.inaturalist.org/photos/442185049,10,10,0,NA,-105.54,40.63,1,
142454756,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/142454756,7,11,1,2,-105.3,40.65,1,
390606690,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606690,6,12,1,2,-105.29,40.71,1,
390606721,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606721,6,13,1,2,-105.29,40.71,1,
390606750,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606750,6,14,1,1,-105.3,40.7,1,
44242535,Pinus ponderosa,0,https://www.inaturalist.org/photos/44242535,7,15,1,2,-105.46,40.68,0,"Possible, could not confirm seedlings"
404665343,Pinus contorta,0,https://www.inaturalist.org/photos/404665343,6,16,1,3,-105.46,40.59,1,
287434662,Melanerpes lewis,0,https://www.inaturalist.org/photos/287434662,5,17,1,2,-105.43,40.69,0,"Possible, could not confirm seedlings"
121838315,Pinus contorta,0,https://www.inaturalist.org/photos/121838315,4,18,0,2,-105.52,40.64,0,
