photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Deciduous,Notes
442184101,Populus tremuloides,0,https://www.inaturalist.org/photos/442184101,10,1,0,NA,-105.54,40.63,1,
442184781,Erigeron canadensis,0,https://www.inaturalist.org/photos/442184781,10,2,0,NA,-105.54,40.63,0,
350184168,Pinus ponderosa,0,https://www.inaturalist.org/photos/350184168,4,3,1,1,-105.3,40.71,0,
158290209,Agrostis scabra,0,https://www.inaturalist.org/photos/158290209,9,4,1,3,-105.5,40.6,0,
442185049,Cirsium arvense,0,https://www.inaturalist.org/photos/442185049,10,5,0,NA,-105.54,40.63,0,"Possible, could not confirm seedlings"
442188117,Pinus contorta,0,https://www.inaturalist.org/photos/442188117,10,6,0,NA,-105.54,40.63,0,Likely shrub
442186940,Phleum pratense,0,https://www.inaturalist.org/photos/442186940,10,7,0,NA,-105.54,40.63,1,
390606732,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606732,6,8,1,1,-105.3,40.71,0,Possible shrub
390606742,Pinus ponderosa,0,https://www.inaturalist.org/photos/390606742,6,9,1,1,-105.3,40.71,0,Shrub
28163746,Solidago nana,0,https://www.inaturalist.org/photos/28163746,9,10,1,1,-105.31,40.69,0,Possible shrub
96123516,Acer glabrum,0,https://www.inaturalist.org/photos/96123516,9,11,1,2,-105.27,40.63,1,
258152366,Vulpes vulpes macroura,0,https://www.inaturalist.org/photos/258152366,7,12,1,2,-105.33,40.65,0,"Possible, could not confirm seedlings"
326110183,Ribes aureum,0,https://www.inaturalist.org/photos/326110183,10,13,NA,1,-105.18,40.59,1,
432166827,Eriogonum alatum,0,https://www.inaturalist.org/photos/432166827,9,14,0,NA,-105.52,40.7,1,
142454756,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/142454756,7,15,1,2,-105.3,40.65,0,
258152355,Vulpes vulpes macroura,0,https://www.inaturalist.org/photos/258152355,7,16,1,2,-105.33,40.65,0,
199658943,Apocynum androsaemifolium,0,https://www.inaturalist.org/photos/199658943,5,17,1,2,-105.3,40.64,0,Shrub
204027051,NA,0,https://www.inaturalist.org/photos/204027051,6,18,0,2,-105.36,40.57,1,
390606721,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606721,6,19,1,2,-105.29,40.71,0,Shrub
279157507,NA,0,https://www.inaturalist.org/photos/279157507,5,20,0,1,-105.53,40.63,0,Shrub
211039682,Eriogonum alatum,0,https://www.inaturalist.org/photos/211039682,6,21,1,1,-105.3,40.7,1,Willow
238383758,Galium boreale,0,https://www.inaturalist.org/photos/238383758,10,22,0,NA,-105.54,40.73,1,
432290154,NA,0,https://www.inaturalist.org/photos/432290154,9,23,0,NA,-105.53,40.7,0,Shrub
11612797,Saponaria officinalis,0,https://www.inaturalist.org/photos/11612797,9,24,1,1,-105.31,40.69,0,
404665343,Pinus contorta,0,https://www.inaturalist.org/photos/404665343,6,25,1,3,-105.46,40.59,1,Tall tree and likely seedlings
73251619,Populus tremuloides,0,https://www.inaturalist.org/photos/73251619,5,26,0,2,-105.47,40.68,1,
199659079,Apocynum androsaemifolium,0,https://www.inaturalist.org/photos/199659079,5,27,1,2,-105.3,40.64,0,Shrub
320208199,Robinia pseudoacacia,0,https://www.inaturalist.org/photos/320208199,9,28,1,2,-105.35,40.68,1,
152608288,Eriogonum alatum,0,https://www.inaturalist.org/photos/152608288,8,29,0,NA,-105.19,40.57,0,
442187972,Pinus contorta,0,https://www.inaturalist.org/photos/442187972,10,30,0,NA,-105.54,40.63,0,
390606772,NA,0,https://www.inaturalist.org/photos/390606772,6,31,0,1,-105.29,40.7,1,
131364132,Populus deltoides,0,https://www.inaturalist.org/photos/131364132,5,32,1,1,-105.21,40.63,1,
442183302,Ceanothus velutinus,0,https://www.inaturalist.org/photos/442183302,10,33,0,NA,-105.54,40.63,0,Shrub
390606750,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606750,6,34,1,1,-105.3,40.7,0,Possible shrub
320208241,Robinia pseudoacacia,0,https://www.inaturalist.org/photos/320208241,9,35,1,2,-105.35,40.68,1,
281803467,Acer glabrum,0,https://www.inaturalist.org/photos/281803467,5,36,1,4,-105.42,40.61,1,
121838315,Pinus contorta,0,https://www.inaturalist.org/photos/121838315,4,37,0,2,-105.52,40.64,0,
41800062,Prunus americana,0,https://www.inaturalist.org/photos/41800062,5,38,1,1,-105.31,40.69,1,
390606690,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/390606690,6,39,1,2,-105.29,40.71,0,Shrub
320208406,NA,0,https://www.inaturalist.org/photos/320208406,9,40,1,3,-105.34,40.62,1,
237449185,Populus angustifolia,0,https://www.inaturalist.org/photos/237449185,10,41,1,1,-105.19,40.58,1,
199659169,Apocynum androsaemifolium,0,https://www.inaturalist.org/photos/199659169,5,42,1,2,-105.3,40.64,0,Shrub
235253033,Rhus trilobata,0,https://www.inaturalist.org/photos/235253033,10,43,1,2,-105.46,40.68,0,Shrub
28126457,NA,0,https://www.inaturalist.org/photos/28126457,11,44,1,2,-105.48,40.67,0,
390606551,Apocynum androsaemifolium,0,https://www.inaturalist.org/photos/390606551,6,45,1,1,-105.3,40.71,0,Shrub
74609675,Acer glabrum,0,https://www.inaturalist.org/photos/74609675,5,46,1,1,-105.19,40.58,1,
407998138,Clematis ligusticifolia,0,https://www.inaturalist.org/photos/407998138,7,47,1,2,-105.43,40.69,0,
225574991,Prunus americana,0,https://www.inaturalist.org/photos/225574991,8,48,NA,1,-105.18,40.58,1,
432289834,Physocarpus monogynus,0,https://www.inaturalist.org/photos/432289834,9,49,0,NA,-105.52,40.7,1,Short tree or large shrub
191455024,Toxicodendron rydbergii,0,https://www.inaturalist.org/photos/191455024,4,50,0,NA,-105.52,40.7,0,
255406692,NA,0,https://www.inaturalist.org/photos/255406692,4,51,1,2,-105.32,40.72,0,
47115918,NA,0,https://www.inaturalist.org/photos/47115918,8,52,1,4,-105.28,40.72,0,Shrub
424976514,NA,0,https://www.inaturalist.org/photos/424976514,8,53,0,1,-105.29,40.7,0,Shrub
142456235,Populus tremuloides,0,https://www.inaturalist.org/photos/142456235,7,54,1,2,-105.3,40.65,1,
429137712,Amelanchier alnifolia,0,https://www.inaturalist.org/photos/429137712,9,55,1,1,-105.21,40.66,1,
50549825,Symphyotrichum laeve,0,https://www.inaturalist.org/photos/50549825,9,56,1,1,-105.31,40.69,0,Shrub
226949524,Pinus ponderosa,0,https://www.inaturalist.org/photos/226949524,9,57,1,1,-105.35,40.69,1,Tall tree and likely seedlings
59340357,NA,0,https://www.inaturalist.org/photos/59340357,1,58,1,1,-105.31,40.69,0,Shrub
38365903,Setophaga coronata coronata,0,https://www.inaturalist.org/photos/38365903,5,59,0,1,-105.24,40.7,0,Shrub or tree
413241836,Odocoileus hemionus,0,https://www.inaturalist.org/photos/413241836,7,60,NA,1,-105.18,40.58,0,Shrub
231240126,Populus angustifolia,0,https://www.inaturalist.org/photos/231240126,9,61,0,1,-105.48,40.68,1,
15108641,Berberis repens,0,https://www.inaturalist.org/photos/15108641,3,62,1,1,-105.37,40.69,0,
75276939,NA,0,https://www.inaturalist.org/photos/75276939,5,63,0,NA,-105.5,40.69,0,Shrub
159294781,NA,0,https://www.inaturalist.org/photos/159294781,9,64,NA,1,-105.18,40.59,0,
145146204,Robinia hispida,0,https://www.inaturalist.org/photos/145146204,7,65,1,1,-105.31,40.7,1,
390606396,NA,0,https://www.inaturalist.org/photos/390606396,5,66,1,2,-105.4,40.68,1,
199855618,Alnus incana,0,https://www.inaturalist.org/photos/199855618,5,67,1,2,-105.35,40.67,1,Alder
199858772,Alnus incana,0,https://www.inaturalist.org/photos/199858772,5,68,1,4,-105.34,40.66,1,Alder
